Transaction_ID,Date,Store_ID,SKU_ID,Category,Condition,Inventory_Age_Bucket,Selling_Price_GST,Net_Revenue,COGS,True_Gross_Margin_%
127,2025-06-04,2,11,AC,Grade B,0-30,27344.03,23172.91,16433.46,29.08
128,2025-06-04,2,25,Refrigerator,Minor Cosmetic,90+,24633.28,20875.66,17574.75,15.81
129,2025-06-04,3,31,Refrigerator,Grade B,61-90,43416.43,36793.58,29370.58,20.17
130,2025-06-04,3,32,Refrigerator,Grade C,0-30,25360.37,21491.84,15292.82,28.84
131,2025-06-04,3,47,Washing Machine,Minor Cosmetic,61-90,35190.28,29822.27,23813.82,20.15
132,2025-06-04,3,7,AC,Grade B,61-90,32499.03,27541.55,22012.91,20.07
133,2025-06-04,3,25,Refrigerator,Minor Cosmetic,0-30,29518.75,25015.89,17574.75,29.75
134,2025-06-04,3,29,Refrigerator,Minor Cosmetic,0-30,71254.15,60384.87,44000.26,27.13
135,2025-06-04,4,40,Washing Machine,Grade C,31-60,14350.3,12161.27,9534.87,21.6
136,2025-06-04,4,8,AC,Grade C,61-90,33357.42,28269.0,22963.56,18.77
137,2025-06-04,4,10,AC,Open Box,61-90,28558.23,24201.89,19637.62,18.86
138,2025-06-04,4,6,AC,Grade B,31-60,32641.95,27662.67,20477.52,25.97
139,2025-06-04,4,41,Washing Machine,Open Box,31-60,26670.45,22602.08,16574.72,26.67
140,2025-06-04,4,33,Refrigerator,Minor Cosmetic,0-30,31293.95,26520.3,19539.7,26.32
141,2025-06-04,5,9,AC,Minor Cosmetic,0-30,35244.72,29868.41,22982.42,23.05
142,2025-06-04,5,35,Refrigerator,Minor Cosmetic,90+,11956.06,10132.25,8761.7,13.53
143,2025-06-04,5,26,Refrigerator,Open Box,0-30,46401.78,39323.55,29837.55,24.12
144,2025-06-04,5,14,TV,Grade B,31-60,45625.5,38665.67,29414.34,23.93
145,2025-06-04,5,23,TV,Minor Cosmetic,90+,16115.48,13657.19,11655.74,14.65
146,2025-06-04,6,42,Washing Machine,Open Box,61-90,43252.99,36655.07,29724.77,18.91
147,2025-06-04,6,34,Refrigerator,Minor Cosmetic,90+,48324.88,40953.29,33383.53,18.48
148,2025-06-04,6,41,Washing Machine,Open Box,31-60,26040.59,22068.3,16574.72,24.89
149,2025-06-04,6,4,AC,Grade C,61-90,20079.9,17016.86,12893.28,24.23
150,2025-06-04,6,27,Refrigerator,Grade B,0-30,14553.89,12333.81,9136.62,25.92
151,2025-06-04,6,42,Washing Machine,Open Box,0-30,46504.62,39410.69,29724.77,24.58
152,2025-06-04,6,8,AC,Grade C,0-30,35748.08,30294.99,22963.56,24.2
153,2025-06-04,6,19,TV,Grade C,61-90,24262.7,20561.61,15815.55,23.08
154,2025-06-05,1,4,AC,Grade C,31-60,21551.12,18263.66,12893.28,29.4
155,2025-06-05,1,6,AC,Grade B,90+,31725.8,26886.27,20477.52,23.84
156,2025-06-05,1,9,AC,Minor Cosmetic,90+,35024.3,29681.61,22982.42,22.57
157,2025-06-05,1,29,Refrigerator,Minor Cosmetic,90+,64781.06,54899.2,44000.26,19.85
158,2025-06-05,1,35,Refrigerator,Minor Cosmetic,31-60,14477.89,12269.4,8761.7,28.59
159,2025-06-05,1,19,TV,Grade C,31-60,26212.3,22213.81,15815.55,28.8
160,2025-06-05,1,6,AC,Grade B,31-60,35971.58,30484.39,20477.52,32.83
161,2025-06-05,1,6,AC,Grade B,31-60,32678.41,27693.57,20477.52,26.06
162,2025-06-05,1,48,Washing Machine,Open Box,0-30,24644.77,20885.4,13931.97,33.29
163,2025-06-05,2,33,Refrigerator,Minor Cosmetic,61-90,27958.45,23693.6,19539.7,17.53
164,2025-06-05,2,28,Refrigerator,Open Box,61-90,68692.99,58214.4,47699.98,18.06
165,2025-06-05,2,40,Washing Machine,Grade C,61-90,15007.71,12718.4,9534.87,25.03
166,2025-06-05,2,34,Refrigerator,Minor Cosmetic,90+,47992.15,40671.31,33383.53,17.92
167,2025-06-05,2,36,Refrigerator,Grade C,31-60,30078.74,25490.46,20279.68,20.44
168,2025-06-05,2,25,Refrigerator,Minor Cosmetic,0-30,28507.65,24159.02,17574.75,27.25
169,2025-06-05,3,1,AC,Minor Cosmetic,31-60,46932.3,39773.14,29209.48,26.56
170,2025-06-05,3,43,Washing Machine,Grade C,90+,22192.23,18806.97,16193.54,13.9
171,2025-06-05,3,40,Washing Machine,Grade C,31-60,15319.77,12982.85,9534.87,26.56
172,2025-06-05,3,7,AC,Grade B,61-90,33631.76,28501.49,22012.91,22.77
173,2025-06-05,3,14,TV,Grade B,61-90,46234.41,39181.7,29414.34,24.93
174,2025-06-05,4,6,AC,Grade B,31-60,32383.37,27443.54,20477.52,25.38
175,2025-06-05,4,7,AC,Grade B,31-60,33508.94,28397.4,22012.91,22.48
176,2025-06-05,4,37,Washing Machine,Open Box,0-30,16086.74,13632.83,10015.96,26.53
177,2025-06-05,4,34,Refrigerator,Minor Cosmetic,0-30,54657.05,46319.54,33383.53,27.93
178,2025-06-05,4,35,Refrigerator,Minor Cosmetic,61-90,12740.71,10797.21,8761.7,18.85
179,2025-06-05,4,21,TV,Grade B,31-60,30311.84,25688.0,20322.84,20.89
180,2025-06-05,4,12,AC,Open Box,31-60,41607.29,35260.42,26094.64,25.99
181,2025-06-05,5,20,TV,Grade C,90+,11758.31,9964.67,8784.66,11.84
182,2025-06-05,5,18,TV,Grade C,61-90,32562.34,27595.2,22781.28,17.44
183,2025-06-05,5,7,AC,Grade B,31-60,34655.32,29368.92,22012.91,25.05
184,2025-06-05,5,45,Washing Machine,Grade C,31-60,25023.61,21206.45,16328.21,23.0
185,2025-06-05,5,2,AC,Open Box,61-90,49335.2,41809.49,34287.99,17.99
186,2025-06-05,5,10,AC,Open Box,31-60,30971.34,26246.9,19637.62,25.18
187,2025-06-05,5,46,Washing Machine,Open Box,61-90,12975.89,10996.52,8500.42,22.7
188,2025-06-05,5,22,TV,Grade B,31-60,50155.27,42504.46,30727.85,27.71
189,2025-06-05,5,32,Refrigerator,Grade C,0-30,23873.33,20231.64,15292.82,24.41
190,2025-06-05,5,43,Washing Machine,Grade C,0-30,26581.24,22526.47,16193.54,28.11
191,2025-06-05,6,28,Refrigerator,Open Box,0-30,76040.64,64441.22,47699.98,25.98
192,2025-06-05,6,19,TV,Grade C,0-30,24896.96,21099.12,15815.55,25.04
193,2025-06-05,6,2,AC,Open Box,61-90,51723.28,43833.29,34287.99,21.78
194,2025-06-05,6,39,Washing Machine,Grade B,31-60,28459.42,24118.15,19250.61,20.18
195,2025-06-05,6,48,Washing Machine,Open Box,0-30,22119.6,18745.43,13931.97,25.68
196,2025-06-05,6,32,Refrigerator,Grade C,31-60,23849.61,20211.53,15292.82,24.34
197,2025-06-05,6,21,TV,Grade B,61-90,30930.91,26212.63,20322.84,22.47
198,2025-06-06,1,19,TV,Grade C,0-30,28682.54,24307.24,15815.55,34.93
199,2025-06-06,1,2,AC,Open Box,61-90,55268.09,46837.37,34287.99,26.79
200,2025-06-06,1,46,Washing Machine,Open Box,31-60,13594.61,11520.85,8500.42,26.22
201,2025-06-06,1,26,Refrigerator,Open Box,61-90,47787.69,40498.05,29837.55,26.32
202,2025-06-06,1,26,Refrigerator,Open Box,90+,44310.05,37550.89,29837.55,20.54
203,2025-06-06,1,42,Washing Machine,Open Box,31-60,51200.11,43389.92,29724.77,31.49
204,2025-06-06,1,19,TV,Grade C,61-90,24577.2,20828.13,15815.55,24.07
205,2025-06-06,1,15,TV,Grade B,90+,13019.49,11033.47,8334.33,24.46
206,2025-06-06,1,44,Washing Machine,Open Box,90+,34882.51,29561.45,22655.21,23.36
207,2025-06-06,1,9,AC,Minor Cosmetic,0-30,38122.33,32307.06,22982.42,28.86
208,2025-06-06,1,43,Washing Machine,Grade C,61-90,25266.44,21412.24,16193.54,24.37
209,2025-06-06,2,15,TV,Grade B,0-30,13971.53,11840.28,8334.33,29.61
210,2025-06-06,2,27,Refrigerator,Grade B,31-60,14531.87,12315.14,9136.62,25.81
211,2025-06-06,2,26,Refrigerator,Open Box,90+,43673.15,37011.14,29837.55,19.38
212,2025-06-06,2,13,TV,Minor Cosmetic,61-90,41748.6,35380.17,28384.81,19.77
213,2025-06-06,2,3,AC,Minor Cosmetic,31-60,25971.3,22009.58,17574.47,20.15
214,2025-06-06,2,8,AC,Grade C,31-60,36694.58,31097.1,22963.56,26.16
215,2025-06-06,2,10,AC,Open Box,31-60,30398.73,25761.64,19637.62,23.77
216,2025-06-06,2,8,AC,Grade C,31-60,33828.03,28667.82,22963.56,19.9
217,2025-06-06,2,21,TV,Grade B,31-60,30059.02,25473.75,20322.84,20.22
218,2025-06-06,3,9,AC,Minor Cosmetic,61-90,34475.13,29216.21,22982.42,21.34
219,2025-06-06,3,21,TV,Grade B,61-90,32035.42,27148.66,20322.84,25.14
220,2025-06-06,3,29,Refrigerator,Minor Cosmetic,90+,63882.73,54137.91,44000.26,18.73
221,2025-06-06,3,15,TV,Grade B,31-60,13039.2,11050.17,8334.33,24.58
222,2025-06-06,3,39,Washing Machine,Grade B,0-30,30533.6,25875.93,19250.61,25.6
223,2025-06-06,3,35,Refrigerator,Minor Cosmetic,90+,11766.06,9971.24,8761.7,12.13
224,2025-06-06,3,11,AC,Grade B,0-30,25509.05,21617.84,16433.46,23.98
225,2025-06-06,3,27,Refrigerator,Grade B,31-60,14169.0,12007.62,9136.62,23.91
226,2025-06-06,3,44,Washing Machine,Open Box,31-60,34566.95,29294.03,22655.21,22.66
227,2025-06-06,3,37,Washing Machine,Open Box,31-60,15965.99,13530.5,10015.96,25.97
228,2025-06-06,4,25,Refrigerator,Minor Cosmetic,90+,25015.62,21199.68,17574.75,17.1
229,2025-06-06,4,37,Washing Machine,Open Box,31-60,14841.64,12577.66,10015.96,20.37
230,2025-06-06,4,25,Refrigerator,Minor Cosmetic,31-60,26474.06,22435.64,17574.75,21.67
231,2025-06-06,4,22,TV,Grade B,0-30,48131.38,40789.31,30727.85,24.67
232,2025-06-06,4,35,Refrigerator,Minor Cosmetic,0-30,14630.52,12398.74,8761.7,29.33
233,2025-06-06,4,24,TV,Minor Cosmetic,61-90,54850.0,46483.05,35807.85,22.97
234,2025-06-06,4,20,TV,Grade C,61-90,13471.64,11416.64,8784.66,23.05
235,2025-06-06,4,44,Washing Machine,Open Box,61-90,33511.55,28399.62,22655.21,20.23
236,2025-06-06,4,9,AC,Minor Cosmetic,90+,31002.43,26273.25,22982.42,12.53
237,2025-06-06,5,27,Refrigerator,Grade B,90+,13549.13,11482.32,9136.62,20.43
238,2025-06-06,5,31,Refrigerator,Grade B,61-90,43662.57,37002.18,29370.58,20.62
239,2025-06-06,5,17,TV,Grade B,31-60,42998.91,36439.75,28373.82,22.13
240,2025-06-06,5,43,Washing Machine,Grade C,90+,22689.8,19228.64,16193.54,15.78
241,2025-06-06,5,24,TV,Minor Cosmetic,0-30,55045.62,46648.83,35807.85,23.24
242,2025-06-06,5,5,AC,Minor Cosmetic,90+,38881.59,32950.5,28903.16,12.28
243,2025-06-06,5,33,Refrigerator,Minor Cosmetic,90+,28145.08,23851.76,19539.7,18.08
244,2025-06-06,5,15,TV,Grade B,61-90,12275.85,10403.26,8334.33,19.89
245,2025-06-06,6,39,Washing Machine,Grade B,0-30,29615.54,25097.92,19250.61,23.3
246,2025-06-06,6,9,AC,Minor Cosmetic,90+,32690.78,27704.05,22982.42,17.04
247,2025-06-06,6,27,Refrigerator,Grade B,31-60,14406.81,12209.16,9136.62,25.17
248,2025-06-06,6,44,Washing Machine,Open Box,31-60,35466.14,30056.05,22655.21,24.62
249,2025-06-06,6,26,Refrigerator,Open Box,90+,41639.44,35287.66,29837.55,15.44
250,2025-06-07,1,28,Refrigerator,Open Box,90+,74582.31,63205.35,47699.98,24.53
251,2025-06-07,1,1,AC,Minor Cosmetic,0-30,49594.88,42029.56,29209.48,30.5
252,2025-06-07,1,5,AC,Minor Cosmetic,31-60,49731.25,42145.12,28903.16,31.42
253,2025-06-07,1,11,AC,Grade B,61-90,26682.23,22612.06,16433.46,27.32
254,2025-06-07,1,25,Refrigerator,Minor Cosmetic,90+,26939.4,22830.0,17574.75,23.02
255,2025-06-07,1,26,Refrigerator,Open Box,0-30,52181.53,44221.63,29837.55,32.53
256,2025-06-07,1,9,AC,Minor Cosmetic,61-90,39037.52,33082.65,22982.42,30.53
257,2025-06-07,1,35,Refrigerator,Minor Cosmetic,61-90,14743.44,12494.44,8761.7,29.88
258,2025-06-07,1,11,AC,Grade B,90+,24022.77,20358.28,16433.46,19.28
259,2025-06-07,1,39,Washing Machine,Grade B,61-90,30019.05,25439.87,19250.61,24.33
260,2025-06-07,1,16,TV,Minor Cosmetic,90+,23165.7,19631.95,15745.16,19.8
261,2025-06-07,1,4,AC,Grade C,31-60,22589.45,19143.6,12893.28,32.65
262,2025-06-07,2,36,Refrigerator,Grade C,61-90,29988.97,25414.38,20279.68,20.2
263,2025-06-07,2,34,Refrigerator,Minor Cosmetic,0-30,52522.93,44510.96,33383.53,25.0
264,2025-06-07,2,28,Refrigerator,Open Box,90+,64154.08,54367.87,47699.98,12.26
265,2025-06-07,2,11,AC,Grade B,31-60,26245.31,22241.79,16433.46,26.11
266,2025-06-07,2,37,Washing Machine,Open Box,31-60,16224.36,13749.46,10015.96,27.15
267,2025-06-07,2,11,AC,Grade B,90+,22193.5,18808.05,16433.46,12.63
268,2025-06-07,2,35,Refrigerator,Minor Cosmetic,31-60,13723.35,11629.96,8761.7,24.66
269,2025-06-07,2,34,Refrigerator,Minor Cosmetic,0-30,55233.32,46807.9,33383.53,28.68
270,2025-06-07,3,4,AC,Grade C,61-90,19384.18,16427.27,12893.28,21.51
271,2025-06-07,3,28,Refrigerator,Open Box,31-60,71745.34,60801.13,47699.98,21.55
272,2025-06-07,3,33,Refrigerator,Minor Cosmetic,0-30,30890.16,26178.1,19539.7,25.36
273,2025-06-07,3,9,AC,Minor Cosmetic,31-60,33943.89,28766.01,22982.42,20.11
274,2025-06-07,3,33,Refrigerator,Minor Cosmetic,61-90,29597.97,25083.03,19539.7,22.1
275,2025-06-07,3,25,Refrigerator,Minor Cosmetic,61-90,26558.6,22507.29,17574.75,21.92
276,2025-06-07,3,8,AC,Grade C,0-30,37077.77,31421.84,22963.56,26.92
277,2025-06-07,3,24,TV,Minor Cosmetic,31-60,53574.99,45402.53,35807.85,21.13
278,2025-06-07,3,16,TV,Minor Cosmetic,61-90,24877.27,21082.43,15745.16,25.32
279,2025-06-07,4,8,AC,Grade C,90+,34019.43,28830.03,22963.56,20.35
280,2025-06-07,4,27,Refrigerator,Grade B,31-60,14726.49,12480.08,9136.62,26.79
281,2025-06-07,4,38,Washing Machine,Open Box,31-60,42663.14,36155.2,26147.92,27.68
282,2025-06-07,4,2,AC,Open Box,0-30,53843.6,45630.17,34287.99,24.86
283,2025-06-07,4,39,Washing Machine,Grade B,0-30,31489.92,26686.38,19250.61,27.86
284,2025-06-07,5,5,AC,Minor Cosmetic,61-90,44453.76,37672.68,28903.16,23.28
285,2025-06-07,5,26,Refrigerator,Open Box,0-30,46831.01,39687.3,29837.55,24.82
286,2025-06-07,5,46,Washing Machine,Open Box,61-90,12309.08,10431.42,8500.42,18.51
287,2025-06-07,5,22,TV,Grade B,61-90,45951.9,38942.29,30727.85,21.09
288,2025-06-07,5,7,AC,Grade B,0-30,33518.51,28405.52,22012.91,22.5
289,2025-06-07,5,5,AC,Minor Cosmetic,31-60,42575.03,36080.53,28903.16,19.89
290,2025-06-07,5,13,TV,Minor Cosmetic,90+,38577.42,32692.73,28384.81,13.18
291,2025-06-07,5,1,AC,Minor Cosmetic,90+,40163.36,34036.74,29209.48,14.18
